symbol,returns,variance,var_95,max_drawdown,sharpe,close,log_variances,volatility,cluster_labels
A,0.1343181106497046,0.08438696377190935,0.43453845909851135,0.2974743742170799,0.39352955778633053,115.55000305175781,0.08101481696545579,0.2904943437864313,5
AAPL,0.29246332547579984,0.05490768236975126,0.3404496165322962,0.1379852423502047,1.1627637841601404,271.05999755859375,0.05345325823646093,0.2343238834812859,4
ABBV,0.12988103459555764,0.06259389628465879,0.39176533619160664,0.167580851697734,0.43919435245492855,198.7100067138672,0.060712990885570146,0.25018772209015133,4
ABNB,0.199436114340693,0.08932613298470507,0.4654078037692021,0.21539112238179675,0.6003722210385826,142.82000732421875,0.08555927844063968,0.2988747781006371,5
ABT,-0.3009427655621382,0.05416827889302826,0.3203996906036417,0.3265380604443897,-1.3789708069921338,91.12999725341797,0.05275209476905027,0.2327407976548767,4
ACGL,0.08165139331457362,0.04440939689924474,0.4084630111854427,0.11997502674884755,0.2925536079098525,96.19000244140625,0.0434515552164207,0.2107353717325232,1
ACN,-0.43132733651199084,0.11245998068903706,0.5572744807144411,0.44094834808873073,-1.3458375361998258,178.36000061035156,0.1065737619968867,0.3353505340521125,5
ADBE,-0.35790199937700123,0.09801893107334719,0.5339387163144681,0.46431964907541173,-1.2070470767852393,245.44000244140625,0.0935075843534134,0.31307975193766074,5
ADI,0.785767453139407,0.08946874356024619,0.41747433679026924,0.15729194586939432,2.560125377857372,399.57000732421875,0.08569018619820787,0.29911326209355243,5
ADM,0.43374256230281977,0.06960643790640558,0.36937260436160535,0.12786169056706834,1.5682146079413883,69.2300033569336,0.06729076577252871,0.26383032029394493,4
ADP,-0.3508617608928104,0.04396597570293276,0.3711777772291806,0.4077977827945872,-1.768698055173054,196.52999877929688,0.043026898606509524,0.2096806517133442,1
ADSK,-0.08257783801794227,0.09327302226247787,0.5676071128486638,0.3315279193482039,-0.33587332749559606,237.44000244140625,0.08917596964162562,0.3054063232195396,5
AEE,0.1640036583851877,0.02299012329612349,0.23185956969549068,0.07898246831316344,0.9497359449746339,111.12000274658203,0.022729832275887416,0.15162494285612604,1
AEP,0.2832265256384379,0.03082767570006706,0.24169434071625198,0.08323110833311637,1.4991989199444264,134.72999572753906,0.030362048193962564,0.17557811851158178,1
AES,0.5336979735391223,0.22006731168043014,0.5263997286253657,0.23266924925677662,1.0950402518480462,14.489999771118164,0.19890603073171245,0.4691133249870762,0
AFL,0.09698490966031327,0.029718076038255128,0.2551899003198223,0.09245844877382707,0.4465758769047464,114.62000274658203,0.02928505219119991,0.17238931532509527,1
AIG,-0.029194066825263612,0.05348888312375785,0.3796343247070835,0.16976556972449894,-0.2127065981442518,75.13999938964844,0.052107401879670015,0.2312766376523099,4
AIZ,0.23330810309722438,0.06091580502184142,0.3650317474519984,0.12572133958707857,0.8642559132553707,229.8000030517578,0.05913250212104994,0.24681127409792572,4
AJG,-0.3589427458705998,0.07339976769355398,0.42957093176124866,0.4088142394199723,-1.3987054112077828,215.3800048828125,0.07083096433943327,0.27092391495317275,4
AKAM,0.27693686744110324,0.19385977007562083,0.4748393655264048,0.2543852689872189,0.5835560531109698,95.25,0.17719156257534283,0.44029509431246316,0
ALB,1.3968758801526815,0.37143676097839806,0.9546854688579921,0.20052273956506833,2.2591878844812716,188.3300018310547,0.31585892094739626,0.6094561189933185,2
ALGN,0.19239083609290059,0.27331816609030263,0.5439597497657791,0.3972682282836776,0.32974629683872553,189.61000061035156,0.24162622243202597,0.5227983990892691,2
ALL,0.14526131140457463,0.05270664562595296,0.3458822992358888,0.11483808279834246,0.545612442105892,212.8800048828125,0.05136460518953017,0.22957927960936056,4
ALLE,0.10290979305700107,0.05351022595861616,0.3319087989790739,0.22162951812387177,0.3584160412657668,146.10000610351562,0.0521276608676943,0.2313227744054099,4
AMAT,1.13132518994481,0.19910964342255671,0.6555367625131936,0.21371957008629547,2.490548544117239,417.0400085449219,0.18157931758803877,0.44621703623075254,0
AMCR,-0.13266375689502974,0.08807606984113966,0.3486050593489641,0.23665221724681842,-0.5144071330538045,38.95000076293945,0.08441106312306247,0.29677612747850807,5
AMD,1.4681568158512457,0.35684130748657017,0.6649152662321628,0.2776075108828482,2.4242535020106986,347.80999755859375,0.3051594303787505,0.5973619568457387,2
AME,0.36666276364219713,0.04569718757227694,0.2707162491178077,0.1356712813826036,1.6216699112346937,232.9499969482422,0.0446838281019842,0.21376900517211783,1
AMGN,0.2751883891073605,0.07665057353181791,0.41276464236698623,0.12407255566710132,0.92172890295191,344.54998779296875,0.07385490127067516,0.2768583997855545,4
AMP,0.04013401070691341,0.062023974363098054,0.4540942679561305,0.20866727878465835,0.08084450374257744,464.1199951171875,0.06017649729478922,0.24904612898637485,4
AMT,-0.1046089646538446,0.05641634693824157,0.4398050136326722,0.2666818864731705,-0.5246223722363376,178.2100067138672,0.05488237551483198,0.2375212557609141,4
