symbol,Returns,variance,VaR_95,max_drawdown,Sharpe,Close,Log_Variances,Volatility,Cluster_labels
A,0.23996332671888895,0.08282850060471052,0.027259082116078304,0.2974743742170801,0.7642938755233042,121.13999938964844,0.07957659962024763,0.2877994103619924,0
AAPL,0.38277882402126706,0.055422914364050904,0.020268930608209643,0.1379852423502049,1.5409808764035369,273.5350036621094,0.05394155329822463,0.2354207177884965,3
ABBV,0.2526592093605148,0.06362825648188254,0.024678933520309768,0.14858805602251524,0.9223489047573424,205.14999389648438,0.06168594686524086,0.252246420156724,0
ABNB,0.30016615241571765,0.09132004748623176,0.029317935881001383,0.21539112238179595,0.9271128522068167,143.63499450683594,0.08738801624787113,0.3021920705217656,0
ABT,-0.25694865951756624,0.05311092665926891,0.019861723564725636,0.2944648948833412,-1.2017311758401006,96.0199966430664,0.051748571059702056,0.23045808004769308,3
ACGL,0.10465654827307339,0.044730984679850094,0.025730751127744655,0.1199750267488462,0.40027302892902383,97.43000030517578,0.043759421347371964,0.21149700867825552,3
ACN,-0.29271323130103766,0.10911114834227428,0.034542898148817884,0.43702864332726393,-0.9466985107355318,195.15499877929688,0.10355892727966765,0.3303197668052493,2
ADBE,-0.27811680166226627,0.09316180624903173,0.031707455097353655,0.4643196490754105,-0.9767142031621601,248.60000610351562,0.08907423689195315,0.3052241901439526,0
ADI,0.8489429709484239,0.09063940634186791,0.026298439416319708,0.15729194586939446,2.7533798328283234,382.2799987792969,0.08676413557470215,0.301063791150427,0
ADM,0.4222743121951558,0.06933799363261127,0.023268314559916837,0.1278616302051513,1.527695029423486,68.2300033569336,0.0670397594618967,0.26332108467156834,0
ADP,-0.2972102567231756,0.04462036068594479,0.023382002160527264,0.40779778279458756,-1.5016913637448304,202.31500244140625,0.04365352820091382,0.21123532064014483,3
ADSK,0.008265683791085512,0.0903420970429953,0.033641888566341316,0.3315279193482032,-0.039040260194971005,245.13999938964844,0.08649149749844812,0.30056962095826534,0
AEE,0.19138253067291572,0.022746803023769937,0.014605780012017055,0.07898246831316365,1.1363349594825807,112.0999984741211,0.022491951959635152,0.15082043304463072,3
AEP,0.291390682437714,0.030746277751658845,0.015225312353021797,0.08323117494846535,1.5477423283311098,134.2899932861328,0.030283081394528347,0.1753461654888947,3
